="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)"
="L3_vol_ma60",="0.000",="0.004**",="0.005***",="0.005***",="0.003",="0.002",="0.002",="0.002",="0.002",="0.000",="-0.001",="0.000",="0.000",="-0.000",="0.001",="0.004",="0.003",="0.001",="0.004",="-0.000",="0.001"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)"
="L4_vol_ma60",="0.002*",="0.003",="0.003*",="-0.000",="-0.002",="-0.002",="-0.003",="-0.002",="-0.003",="-0.005**",="-0.004*",="-0.004",="-0.003",="-0.002",="0.002",="0.000",="-0.003",="0.000",="-0.003",="-0.003",="-0.003"
="",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.003)"
="L5_vol_ma60",="-0.001",="-0.000",="0.000",="-0.001",="-0.003",="-0.003",="-0.003",="-0.005**",="-0.006***",="-0.005**",="-0.006**",="-0.006**",="-0.005*",="-0.002",="-0.004",="-0.009***",="-0.005*",="-0.009**",="-0.010**",="-0.008*",="-0.008"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.005)"
="L6_vol_ma60",="0.000",="-0.002",="-0.004**",="-0.006***",="-0.006***",="-0.005***",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.006***",="-0.004",="-0.006**",="-0.010***",="-0.008***",="-0.010***",="-0.011***",="-0.010***",="-0.012***",="-0.013***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.005)"
="L7_vol_ma60",="-0.002",="-0.004***",="-0.006***",="-0.006***",="-0.006***",="-0.007***",="-0.007***",="-0.006***",="-0.006***",="-0.006***",="-0.006***",="-0.004",="-0.005*",="-0.010***",="-0.006**",="-0.009***",="-0.011***",="-0.011**",="-0.011***",="-0.011**",="-0.010**"
="",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)"
="L8_vol_ma60",="-0.002*",="-0.004***",="-0.004***",="-0.004***",="-0.006***",="-0.006***",="-0.005**",="-0.005**",="-0.005**",="-0.004*",="-0.002",="-0.004",="-0.008***",="-0.006**",="-0.009***",="-0.010**",="-0.010***",="-0.010**",="-0.011**",="-0.011**",="-0.008*"
="",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"
="L1_vix",="-0.114***",="-0.079***",="-0.064**",="-0.035",="-0.008",="-0.004",="0.006",="-0.005",="-0.040",="-0.080**",="-0.101***",="-0.088**",="-0.073*",="-0.075*",="-0.061",="-0.056",="-0.066",="-0.064",="-0.068",="-0.078",="-0.074"
="",="(0.018)",="(0.020)",="(0.026)",="(0.028)",="(0.032)",="(0.030)",="(0.035)",="(0.033)",="(0.036)",="(0.037)",="(0.039)",="(0.042)",="(0.043)",="(0.042)",="(0.046)",="(0.044)",="(0.050)",="(0.046)",="(0.052)",="(0.052)",="(0.052)"
="L2_vix",="0.134***",="0.126***",="0.137***",="0.142***",="0.129***",="0.131***",="0.112**",="0.088***",="0.086*",="0.096**",="0.125**",="0.129***",="0.124**",="0.133***",="0.135**",="0.116***",="0.133**",="0.126***",="0.118**",="0.127***",="0.152**"
="",="(0.024)",="(0.024)",="(0.031)",="(0.028)",="(0.038)",="(0.032)",="(0.044)",="(0.034)",="(0.047)",="(0.038)",="(0.049)",="(0.038)",="(0.050)",="(0.041)",="(0.053)",="(0.045)",="(0.057)",="(0.048)",="(0.059)",="(0.048)",="(0.062)"
="L3_vix",="-0.023",="-0.017",="-0.012",="-0.028",="-0.028",="-0.053*",="-0.083**",="-0.086**",="-0.083**",="-0.050",="-0.042",="-0.056",="-0.054",="-0.053",="-0.077",="-0.058",="-0.072",="-0.074",="-0.067",="-0.044",="-0.061"
