="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="L5_vol_ma60",="0.013",="-0.007",="-0.023**",="-0.015",="-0.009",="-0.015*",="-0.014",="-0.004",="0.001",="-0.001",="0.014",="0.013",="-0.011",="-0.005",="-0.009",="-0.006"
="",="(0.010)",="(0.008)",="(0.011)",="(0.010)",="(0.016)",="(0.008)",="(0.015)",="(0.010)",="(0.015)",="(0.011)",="(0.012)",="(0.015)",="(0.017)",="(0.011)",="(0.016)",="(0.012)"
="L6_vol_ma60",="-0.016**",="-0.032***",="-0.024**",="-0.016",="-0.022**",="-0.020",="-0.006",="-0.003",="-0.005",="0.010",="0.008",="-0.017",="-0.014",="-0.016",="-0.018",="-0.007"
="",="(0.008)",="(0.011)",="(0.010)",="(0.016)",="(0.009)",="(0.016)",="(0.010)",="(0.016)",="(0.010)",="(0.014)",="(0.014)",="(0.019)",="(0.011)",="(0.014)",="(0.013)",="(0.013)"
="L7_vol_ma60",="-0.021**",="-0.015*",="-0.008",="-0.010",="-0.008",="0.006",="0.014",="0.010",="0.021",="0.020",="-0.008",="-0.009",="-0.007",="-0.010",="0.000",="-0.005"
="",="(0.009)",="(0.008)",="(0.015)",="(0.008)",="(0.017)",="(0.011)",="(0.016)",="(0.012)",="(0.014)",="(0.014)",="(0.019)",="(0.012)",="(0.012)",="(0.012)",="(0.012)",="(0.016)"
="L8_vol_ma60",="0.007",="0.008",="0.006",="0.006",="0.019*",="0.028*",="0.026**",="0.033***",="0.034**",="0.006",="0.006",="0.003",="-0.001",="0.009",="0.003",="0.023"
="",="(0.007)",="(0.010)",="(0.009)",="(0.014)",="(0.011)",="(0.014)",="(0.012)",="(0.011)",="(0.015)",="(0.016)",="(0.012)",="(0.013)",="(0.011)",="(0.012)",="(0.014)",="(0.014)"
="L1_art1_best",="-0.001",="-0.000",="-0.001",="-0.001",="-0.001",="-0.002***",="-0.002**",="-0.001*",="-0.001",="0.000",="-0.000",="-0.001",="0.000",="-0.001",="0.000",="-0.000"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L2_art1_best",="0.001",="0.001",="0.001",="0.001",="-0.001",="-0.000",="0.000",="0.000",="0.001",="0.000",="-0.000",="0.000",="-0.001",="0.000",="-0.000",="0.000"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L3_art1_best",="0.000",="0.000",="0.001",="-0.000",="0.000",="0.000",="0.000",="0.000",="-0.000",="-0.001",="0.001",="0.000",="0.000",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L4_art1_best",="0.001",="0.001",="-0.000",="-0.000",="-0.000",="0.000",="0.000",="-0.000",="-0.000",="0.000",="0.000",="0.000",="-0.000",="-0.000",="-0.000",="0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L5_art1_best",="0.000",="-0.000",="-0.000",="-0.000",="-0.001",="-0.000",="-0.001",="-0.001",="-0.001",="-0.001",="-0.001",="-0.001",="-0.002",="-0.001",="-0.000",="-0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L6_art1_best",="0.000",="0.000",="-0.000",="-0.000",="0.000",="-0.000",="-0.000",="0.000",="0.000",="0.000",="0.001",="0.000",="0.001",="0.001",="-0.000",="0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
