="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="L6_vix",="0.014",="0.004",="-0.012",="-0.030",="-0.038",="-0.016",="-0.006",="0.020",="-0.013",="0.009",="0.010",="-0.009",="-0.001",="-0.012",="-0.025",="-0.028"
="",="(0.019)",="(0.021)",="(0.026)",="(0.026)",="(0.033)",="(0.030)",="(0.034)",="(0.030)",="(0.038)",="(0.034)",="(0.039)",="(0.037)",="(0.043)",="(0.037)",="(0.045)",="(0.038)"
="L7_vix",="-0.008",="-0.018",="-0.038",="-0.052**",="-0.030",="-0.022",="0.009",="-0.026",="-0.006",="-0.003",="-0.021",="-0.010",="-0.017",="-0.019",="-0.011",="0.012"
="",="(0.019)",="(0.019)",="(0.026)",="(0.025)",="(0.032)",="(0.025)",="(0.032)",="(0.032)",="(0.038)",="(0.033)",="(0.042)",="(0.039)",="(0.045)",="(0.039)",="(0.047)",="(0.038)"
="L8_vix",="-0.007",="-0.012",="0.007",="0.045*",="0.060***",="0.073***",="0.052**",="0.069**",="0.063**",="0.051",="0.060*",="0.057",="0.063*",="0.075*",="0.081**",="0.070"
="",="(0.014)",="(0.017)",="(0.019)",="(0.024)",="(0.023)",="(0.027)",="(0.025)",="(0.035)",="(0.027)",="(0.035)",="(0.032)",="(0.039)",="(0.033)",="(0.045)",="(0.035)",="(0.046)"
="L1_art1_best",="0.000",="0.001",="0.001",="0.001",="0.001",="-0.001",="-0.001",="-0.001",="-0.000",="0.001",="0.000",="0.001",="0.001",="0.001",="0.001",="0.001"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="L2_art1_best",="0.000",="0.001",="0.000",="0.001",="-0.001",="-0.001",="-0.000",="-0.000",="0.001",="-0.001",="-0.001",="-0.001",="-0.002",="-0.001",="-0.002",="-0.001"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="L3_art1_best",="-0.000",="0.000",="0.001",="-0.000",="-0.001",="-0.000",="-0.000",="-0.000",="-0.001",="-0.001",="-0.001",="-0.000",="-0.000",="0.000",="-0.001",="-0.001"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="L4_art1_best",="0.001",="0.001***",="0.000",="-0.000",="-0.000",="0.000",="0.001",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="-0.001",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)"
="L5_art1_best",="-0.000",="-0.000",="-0.001",="-0.000",="-0.001",="-0.001",="-0.001",="-0.002*",="-0.001",="-0.001",="-0.001",="-0.001",="-0.002*",="-0.001",="-0.001",="-0.001"
